iter	MultiClass
0	1.250152628
1	1.043724255
2	0.9157887418
3	0.81898896
4	0.7700410069
5	0.7151465358
6	0.6740439663
7	0.6433194836
8	0.6159315186
9	0.5943071901
10	0.5746885812
11	0.5631371273
12	0.5473807828
13	0.5350832155
14	0.5248467468
15	0.516330496
16	0.5073103617
17	0.4999289292
18	0.4903410855
19	0.4807575482
20	0.4768007208
21	0.4680320371
22	0.4616911575
23	0.4546634441
24	0.4437827292
25	0.4384722454
26	0.4332145868
27	0.428158242
28	0.4244182169
29	0.4175411556
30	0.4148353784
31	0.4053272829
32	0.4004594782
33	0.3958458767
34	0.3931800704
35	0.3910425101
36	0.38708165
37	0.3845263831
38	0.3820560675
39	0.38069549
40	0.3787182589
41	0.3748893259
42	0.3720628527
43	0.3681801885
44	0.364101187
45	0.3627081405
46	0.3609312233
47	0.3587507444
48	0.3565172371
49	0.3556491787
50	0.3539153973
51	0.3510746768
52	0.3478875148
53	0.3455008847
54	0.3440142737
55	0.3420150915
56	0.3381701123
57	0.3365183202
58	0.3351205393
59	0.3332310963
60	0.3314059961
61	0.3287474311
62	0.3263804446
63	0.3252337469
64	0.3234868605
65	0.3218798294
66	0.320110312
67	0.3190896345
68	0.3178072135
69	0.3157844455
70	0.3136680392
71	0.312112774
72	0.3114768974
73	0.3084732484
74	0.3074747448
75	0.3060468159
76	0.3042838555
77	0.3031694436
78	0.3018440778
79	0.300102573
80	0.2979042567
81	0.2962983798
82	0.2953328472
83	0.2938053877
84	0.2927094496
85	0.2906772582
86	0.2896825916
87	0.2884049654
88	0.2874074833
89	0.2859218834
90	0.2832685062
91	0.2818495901
92	0.2804558208
93	0.2792649765
94	0.2782215693
95	0.2771834512
96	0.2758107735
97	0.2751489712
98	0.2746384302
99	0.2728109339
100	0.2718850477
101	0.2713575602
102	0.2708239728
103	0.269022216
104	0.2683440509
105	0.2666080403
106	0.2661788516
107	0.2652171535
108	0.2642980176
109	0.2629134602
110	0.2624078402
111	0.2615069127
112	0.2604120924
113	0.2588482983
114	0.2570855684
115	0.256436323
116	0.2557466784
117	0.2545256735
118	0.2530485177
119	0.2516682743
120	0.2507784657
121	0.2500174452
122	0.2490741645
123	0.2480975221
124	0.2475470542
125	0.2469360819
126	0.2464960949
127	0.2451388949
128	0.2443670855
129	0.2424788839
130	0.2413303789
131	0.2404115542
132	0.2388876412
133	0.2377238951
134	0.2367306677
135	0.2362401463
136	0.2354189735
137	0.2344736871
138	0.2334256353
139	0.2327305647
140	0.232364292
141	0.2315047002
142	0.2306202293
143	0.2299307152
144	0.2291694841
145	0.2281607511
146	0.226808179
147	0.2264888651
148	0.2255510993
149	0.225238028
150	0.2243908038
151	0.2235082514
152	0.2230943975
153	0.2223048149
154	0.2218994822
155	0.2213945146
156	0.219925858
157	0.2195200259
158	0.2185049839
159	0.2172881558
160	0.2162613825
161	0.2153780741
162	0.2144032932
163	0.2137629508
164	0.2132899374
165	0.2125965378
166	0.2112377664
167	0.2106361803
168	0.2099200918
169	0.2095843655
170	0.2090287337
171	0.2082719422
172	0.2077147913
173	0.2070875706
174	0.2064332539
175	0.2055591829
176	0.2045714925
177	0.2038505738
178	0.2029211163
179	0.2013668795
180	0.1999284319
181	0.1992490951
182	0.1986856935
183	0.1984182031
184	0.1973178382
185	0.1970258609
186	0.1961854969
187	0.1956484671
188	0.1949655495
189	0.1942580187
190	0.1937864676
191	0.1931781196
192	0.192357519
193	0.1917096662
194	0.1911150917
195	0.1904126873
196	0.1902369725
197	0.1895805387
198	0.1884970453
199	0.1881538602
