iter	Passed	Remaining
0	372	74145
1	748	74055
2	1134	74506
3	1514	74193
4	1887	73619
5	2294	74189
6	2692	74233
7	3079	73906
8	3496	74202
9	3894	73992
10	4319	74208
11	4708	73768
12	5116	73604
13	5509	73193
14	5885	72581
15	6269	72094
16	6660	71694
17	7059	71375
18	7453	71007
19	7851	70662
20	8221	70074
21	8659	70065
22	9050	69652
23	9439	69222
24	9832	68828
25	10221	68407
26	10611	67993
27	11019	67688
28	11381	67110
29	11750	66583
30	12097	65949
31	12492	65586
32	12866	65112
33	13239	64640
34	13610	64164
35	13993	63745
36	14388	63388
37	14756	62909
38	15139	62499
39	15490	61961
40	15853	61480
41	16217	61008
42	16612	60655
43	17018	60337
44	17414	59982
45	17775	59508
46	18131	59025
47	18526	58667
48	18969	58457
49	19354	58062
50	19777	57780
51	20167	57400
52	20558	57022
53	20947	56636
54	21324	56219
55	21707	55819
56	22099	55442
57	22471	55015
58	22830	54560
59	23186	54102
60	23546	53655
61	23929	53262
62	24306	52858
63	24674	52433
64	25064	52057
65	25430	51631
66	25857	51329
67	26249	50954
68	26640	50578
69	27058	50251
70	27469	49909
71	27860	49530
72	28206	49071
73	28593	48686
74	28941	48236
75	29303	47810
76	29654	47370
77	30002	46927
78	30381	46533
79	30763	46144
80	31176	45802
81	31577	45441
82	31946	45033
83	32337	44656
84	32722	44271
85	33128	43914
86	33511	43526
87	33907	43155
88	34265	42735
89	34661	42363
90	35091	42032
91	35487	41659
92	35892	41296
93	36292	40925
94	36684	40545
95	37068	40157
96	37473	39791
97	37849	39394
98	38232	39004
99	38655	38655
100	39023	38250
101	39394	37849
102	39757	37441
103	40131	37044
104	40491	36635
105	40894	36264
106	41270	35870
107	41643	35473
108	42003	35066
109	42381	34675
110	42735	34265
111	43095	33860
112	43462	33462
113	43861	33088
114	44238	32698
115	44601	32297
116	44987	31913
117	45359	31520
118	45750	31141
119	46116	30744
120	46483	30348
121	46854	29955
122	47225	29563
123	47604	29177
124	47975	28785
125	48341	28390
126	48696	27990
127	49083	27609
128	49439	27210
129	49825	26829
130	50199	26440
131	50582	26057
132	50971	25677
133	51350	25292
134	51748	24915
135	52120	24527
136	52519	24151
137	52885	23760
138	53269	23377
139	53625	22982
140	53975	22585
141	54348	22198
142	54706	21806
143	55092	21424
144	55493	21049
145	55864	20662
146	56249	20280
147	56602	19887
148	56988	19506
149	57344	19114
150	57734	18735
151	58091	18344
152	58443	17953
153	58828	17572
154	59192	17184
155	59556	16797
156	59934	16415
157	60309	16031
158	60714	15656
159	61139	15284
160	61514	14901
161	61908	14521
162	62262	14133
163	62669	13756
164	63059	13376
165	63413	12988
166	63794	12606
167	64172	12223
168	64558	11842
169	64943	11460
170	65302	11074
171	65668	10690
172	66032	10305
173	66396	9921
174	66766	9538
175	67157	9157
176	67560	8778
177	67942	8397
178	68341	8017
179	68732	7636
180	69118	7255
181	69469	6870
182	69887	6492
183	70237	6107
184	70638	5727
185	70987	5343
186	71358	4960
187	71735	4578
188	72100	4196
189	72464	3813
190	72820	3431
191	73192	3049
192	73559	2667
193	73921	2286
194	74285	1904
195	74643	1523
196	74993	1142
197	75357	761
198	75762	380
199	76108	0
