iter	RMSE
0	1.646936604
1	1.524107142
2	1.425461526
3	1.333293912
4	1.251881199
5	1.17927497
6	1.116781209
7	1.065282863
8	1.017566657
9	0.9767868519
10	0.9426015879
11	0.9106441966
12	0.8805272225
13	0.857735147
14	0.8351588122
15	0.8183499061
16	0.8023401257
17	0.7875600785
18	0.7766166413
19	0.7674191371
20	0.7581046586
21	0.7506798023
22	0.7423392411
23	0.7352542711
24	0.7289669479
25	0.7226772428
26	0.7164422096
27	0.711328638
28	0.707349915
29	0.7037895038
30	0.7002571445
31	0.6969631296
32	0.6918945243
33	0.6886377395
34	0.6856702147
35	0.6828082344
36	0.6792321122
37	0.676531845
38	0.6730398138
39	0.6714547076
40	0.669197712
41	0.6673953193
42	0.6650447524
43	0.6630817049
44	0.6610695159
45	0.6587813366
46	0.6553777826
47	0.6534471759
48	0.6519053481
49	0.6498191732
50	0.6477137679
51	0.6454413799
52	0.6444779176
53	0.6430185094
54	0.6419785331
55	0.6404049096
56	0.6394252969
57	0.6373609165
58	0.6357334464
59	0.6347458715
60	0.6321786498
61	0.630981313
62	0.6296230754
63	0.629221338
64	0.6282810986
65	0.6258915036
66	0.6241981127
67	0.6234408216
68	0.6229471276
69	0.621615202
70	0.6211141373
71	0.6190402628
72	0.6184268588
73	0.6169143219
74	0.6150757718
75	0.6140590993
76	0.6131287767
77	0.6121491801
78	0.6112598941
79	0.6104758633
80	0.6094338037
81	0.6082550287
82	0.6070764934
83	0.6066111127
84	0.6049227871
85	0.6037836531
86	0.6031358895
87	0.6025268844
88	0.6015364441
89	0.600780229
90	0.5996897915
91	0.5992203208
92	0.5987997968
93	0.5971144977
94	0.5944176554
95	0.5932333236
96	0.5924185204
97	0.5907229181
98	0.5899348215
99	0.5869199823
100	0.5860179681
101	0.5843358196
102	0.5836626817
103	0.5829622366
104	0.5823849953
105	0.5797584366
106	0.5794526811
107	0.5788539669
108	0.5774634505
109	0.5760966833
110	0.575607469
111	0.5748217405
112	0.5735715284
113	0.5717294823
114	0.5704137713
115	0.5701577005
116	0.5679242817
117	0.5671903858
118	0.5656843901
119	0.5645575268
120	0.5639217615
121	0.5633321345
122	0.562088307
123	0.5608561819
124	0.5588877253
125	0.5578636021
126	0.5570025226
127	0.5555377318
128	0.5551408457
129	0.5547747332
130	0.5538061128
131	0.5527691293
132	0.5521705362
133	0.5515320402
134	0.5505351079
135	0.5497531648
136	0.5488123269
137	0.548099511
138	0.5467438657
139	0.5458793662
140	0.5452104037
141	0.5446241286
142	0.5442703549
143	0.5440571788
144	0.5432321562
145	0.5422703955
146	0.5417695136
147	0.5410646273
148	0.5398233019
149	0.5396355073
150	0.5391149306
151	0.538432849
152	0.5380313153
153	0.5375267833
154	0.5367022831
155	0.5361302701
156	0.5354241933
157	0.5349276308
158	0.5343550491
159	0.5333846764
160	0.5326250047
161	0.5321429173
162	0.5313598924
163	0.5312302277
164	0.5303899461
165	0.5297109067
166	0.5293502213
167	0.5292512037
168	0.5289880578
169	0.5273455973
170	0.5267994757
171	0.5264521133
172	0.5258392902
173	0.5251746354
174	0.5246663859
175	0.5236606018
176	0.5231111896
177	0.5223431976
178	0.521885337
179	0.5212657295
180	0.5199578788
181	0.5195084053
182	0.5188971753
183	0.5188133555
184	0.5186936059
185	0.518455713
186	0.517925388
187	0.5171416533
188	0.5163693296
189	0.5152246751
190	0.5151151849
191	0.5145304652
192	0.5144557127
193	0.5143736383
194	0.5142783673
195	0.5141774
196	0.5138480317
197	0.5135920456
198	0.5131643761
199	0.512872366
