iter	Passed	Remaining
0	0	86
1	1	101
2	1	89
3	1	78
4	1	71
5	2	71
6	2	68
7	2	66
8	3	65
9	3	63
10	3	62
11	3	61
12	4	59
13	4	59
14	4	58
15	4	57
16	5	57
17	5	56
18	5	55
19	6	54
20	6	53
21	6	52
22	6	51
23	6	50
24	7	50
25	7	49
26	7	48
27	7	48
28	8	47
29	8	47
30	8	46
31	8	45
32	8	45
33	9	44
34	9	43
35	9	43
36	9	42
37	9	42
38	10	42
39	10	41
40	10	41
41	10	40
42	11	40
43	11	40
44	11	40
45	11	39
46	12	42
47	13	41
48	13	41
49	13	40
50	13	40
51	13	39
52	14	39
53	14	39
54	14	38
55	15	38
56	15	39
57	16	39
58	16	38
59	16	38
60	16	37
61	16	37
62	17	37
63	17	36
64	17	36
65	17	35
66	17	35
67	18	35
68	18	34
69	18	34
70	18	33
71	18	33
72	19	33
73	19	32
74	19	32
75	19	32
76	19	31
77	20	31
78	20	31
79	20	30
80	20	30
81	20	30
82	21	29
83	21	29
84	21	29
85	21	28
86	21	28
87	22	28
88	22	28
89	22	27
90	23	27
91	23	27
92	23	27
93	24	27
94	24	26
95	24	26
96	24	26
97	25	26
98	25	25
99	25	25
100	25	25
101	26	25
102	26	24
103	26	24
104	26	24
105	26	23
106	27	23
107	27	23
108	27	22
109	27	22
110	27	22
111	28	22
112	28	21
113	28	21
114	28	21
115	28	20
116	28	20
117	29	20
118	29	19
119	29	19
120	29	19
121	29	19
122	29	18
123	30	18
124	30	18
125	30	17
126	30	17
127	30	17
128	31	17
129	31	16
130	31	16
131	31	16
132	32	16
133	32	15
134	32	15
135	32	15
136	33	15
137	33	14
138	33	14
139	33	14
140	33	14
141	33	13
142	34	13
143	34	13
144	34	13
145	34	12
146	34	12
147	35	12
148	35	12
149	35	11
150	35	11
151	35	11
152	36	11
153	36	10
154	36	10
155	36	10
156	36	10
157	37	9
158	37	9
159	37	9
160	37	9
161	37	8
162	38	8
163	38	8
164	38	8
165	38	7
166	38	7
167	39	7
168	39	7
169	39	6
170	39	6
171	39	6
172	40	6
173	40	6
174	40	5
175	41	5
176	41	5
177	41	5
178	41	4
179	42	4
180	42	4
181	42	4
182	42	3
183	43	3
184	43	3
185	43	3
186	43	3
187	44	2
188	44	2
189	44	2
190	44	2
191	44	1
192	44	1
193	45	1
194	45	1
195	45	0
196	45	0
197	45	0
198	45	0
199	46	0
